video,exercise,frames,windows
push-up_48.mp4,pushup,146,27
push-up_49.mp4,pushup,150,28
push-up_5.mp4,pushup,150,28
push-up_50.mp4,pushup,150,28
push-up_51.mp4,pushup,133,24
push-up_52.mp4,pushup,411,80
push-up_53.mp4,pushup,663,130
push-up_54.mp4,pushup,778,153
push-up_55.mp4,pushup,475,93
push-up_56.mp4,pushup,584,114
push-up_6.mp4,pushup,150,28
push-up_7.mp4,pushup,150,28
push-up_8.mp4,pushup,150,28
push-up_9.mp4,pushup,150,28
barbell biceps curl_1.mp4,bicepCurl,114,20
barbell biceps curl_10.mp4,bicepCurl,94,16
barbell biceps curl_11.mp4,bicepCurl,75,13
barbell biceps curl_12.mp4,bicepCurl,123,22
barbell biceps curl_13.mp4,bicepCurl,122,22
barbell biceps curl_14.mp4,bicepCurl,69,11
barbell biceps curl_15.mp4,bicepCurl,65,11
barbell biceps curl_16.mp4,bicepCurl,63,10
barbell biceps curl_17.mp4,bicepCurl,61,10
barbell biceps curl_18.mp4,bicepCurl,67,11
barbell biceps curl_19.mp4,bicepCurl,60,10
barbell biceps curl_2.mp4,bicepCurl,77,13
barbell biceps curl_23.mp4,bicepCurl,70,12
barbell biceps curl_24.mp4,bicepCurl,84,14
barbell biceps curl_25.mp4,bicepCurl,78,13
barbell biceps curl_26.mp4,bicepCurl,80,14
barbell biceps curl_3.mp4,bicepCurl,73,12
barbell biceps curl_30.mp4,bicepCurl,49,7
barbell biceps curl_31.mp4,bicepCurl,65,11
barbell biceps curl_32.mp4,bicepCurl,65,11
barbell biceps curl_33.mp4,bicepCurl,62,10
barbell biceps curl_34.mp4,bicepCurl,63,10
barbell biceps curl_35.mp4,bicepCurl,58,9
barbell biceps curl_36.mp4,bicepCurl,50,8
barbell biceps curl_37.mp4,bicepCurl,59,9
barbell biceps curl_38.mp4,bicepCurl,59,9
barbell biceps curl_39.mp4,bicepCurl,54,8
barbell biceps curl_4.mp4,bicepCurl,53,8
barbell biceps curl_40.mp4,bicepCurl,201,38
barbell biceps curl_41.mp4,bicepCurl,53,8
barbell biceps curl_42.mp4,bicepCurl,141,26
barbell biceps curl_43.mp4,bicepCurl,132,24
barbell biceps curl_44.mp4,bicepCurl,229,43
barbell biceps curl_45.mp4,bicepCurl,421,82
barbell biceps curl_46.mp4,bicepCurl,94,16
barbell biceps curl_47.mp4,bicepCurl,120,22
barbell biceps curl_48.mp4,bicepCurl,70,12
barbell biceps curl_49.mp4,bicepCurl,90,16
barbell biceps curl_5.mp4,bicepCurl,82,14
barbell biceps curl_50.mp4,bicepCurl,150,28
barbell biceps curl_51.mp4,bicepCurl,282,54
barbell biceps curl_52.mp4,bicepCurl,372,72
barbell biceps curl_53.mp4,bicepCurl,176,33
barbell biceps curl_54.mp4,bicepCurl,132,24
barbell biceps curl_55.mp4,bicepCurl,147,27
barbell biceps curl_56.mp4,bicepCurl,213,40
barbell biceps curl_57.mp4,bicepCurl,211,40
barbell biceps curl_59.mp4,bicepCurl,194,36
barbell biceps curl_6.mp4,bicepCurl,123,22
barbell biceps curl_60.mp4,bicepCurl,220,42
barbell biceps curl_61.mp4,bicepCurl,70,12
barbell biceps curl_62.mp4,bicepCurl,97,17
barbell biceps curl_7.mp4,bicepCurl,138,25
barbell biceps curl_8.mp4,bicepCurl,98,17
barbell biceps curl_9.mp4,bicepCurl,57,9
